,cve_ent,poblacion,Nom_Ent,nom_mun,Total,semana f,semana g,semana 0,semana 1,semana 2,semana 3,semana 4,semana 5,semana 6,semana 7,semana 8,semana 9,semana 10,semana 11,semana 12,semana 13,semana 14,semana 15,semana 16,semana 17,semana 18,semana 19,semana 20,semana 21,semana 22,semana 23,semana 24,semana 25,semana 26,semana 27,semana 28,semana 29,semana 30,semana 31,semana 32,semana 33,semana 34,semana 35,semana 36,semana 37,semana 38,semana 39,semana 40,semana 41,semana 42,semana 43,semana 44,semana 45,semana 46,semana 47,semana 48,semana 49,semana 50,semana 51,semana 52,semana 53,semana 54,semana 55,semana 56,semana 57,semana 58,semana 59,semana 60,semana 61,semana 62
0,1001,961977,Aguascalientes,Aguascalientes,21722,0,0,0,1,8,33,6,12,58,61,88,104,104,104,193,256,314,286,244,237,305,303,275,256,247,274,349,381,337,273,263,362,354,380,471,599,842,855,946,959,947,780,522,516,390,451,682,795,894,754,508,359,342,343,324,275,307,267,189,267,195,165,141,136,33
1,1002,50864,Aguascalientes,Asientos,459,0,0,0,0,1,0,0,0,0,0,1,0,0,5,2,2,7,6,5,8,11,6,7,11,2,7,4,2,2,1,5,1,11,4,9,8,19,19,18,25,27,23,16,17,16,6,13,14,23,14,11,13,16,3,4,9,4,3,1,3,3,2,6,2,1
2,1003,60760,Aguascalientes,Calvillo,978,0,0,0,0,0,0,0,0,0,8,1,1,1,0,0,3,3,8,11,8,33,23,12,13,5,5,2,4,8,10,8,13,7,13,21,10,18,36,56,47,41,36,28,19,20,18,35,50,57,43,29,46,43,33,35,20,10,4,4,9,6,3,1,0,0
3,1004,16918,Aguascalientes,Cosío,125,0,0,0,0,0,0,0,0,0,0,0,0,6,7,4,6,7,11,1,0,3,9,9,4,6,4,3,4,0,0,0,2,0,1,0,3,2,6,3,2,2,0,0,1,0,1,0,1,7,1,2,5,0,0,0,0,0,0,0,1,0,1,0,0,0
4,1005,130184,Aguascalientes,Jesús María,765,0,0,0,0,0,1,0,0,6,5,1,4,5,6,6,5,11,10,15,14,15,13,9,19,10,20,16,18,21,12,11,10,21,12,25,29,23,21,20,21,31,28,20,9,12,17,17,16,16,22,18,14,21,21,3,13,11,5,6,6,7,12,2,2,1
5,1006,50032,Aguascalientes,Pabellón de Arteaga,861,0,0,0,0,0,4,1,0,0,0,6,3,3,13,7,18,7,20,12,6,8,23,13,19,9,11,11,6,13,19,17,18,24,29,18,23,36,53,57,26,47,30,26,12,13,14,20,20,22,27,11,22,8,5,11,12,4,4,3,5,4,4,2,2,0
6,1007,57981,Aguascalientes,Rincón de Romos,690,0,0,0,0,0,0,2,2,1,2,4,6,8,14,12,23,13,25,19,30,42,43,28,22,20,25,25,10,9,13,6,6,21,7,21,20,20,25,21,10,16,4,5,3,2,4,1,8,18,13,8,13,8,7,5,2,0,1,2,4,3,2,3,3,0
7,1008,9661,Aguascalientes,San José de Gracia,118,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,2,5,5,6,1,5,12,4,4,3,2,0,1,1,0,1,1,0,0,3,0,6,5,2,5,1,6,5,2,1,1,2,2,2,2,1,1,0,5,1,1,1,0,0,0,3,0,2,0,0
8,1009,22743,Aguascalientes,Tepezalá,257,0,0,0,0,0,1,0,0,0,1,0,1,2,12,9,13,10,10,6,6,11,7,18,10,3,3,15,2,6,4,1,1,4,2,5,5,7,6,2,10,5,5,8,3,2,0,4,2,13,3,0,3,4,1,4,1,2,1,1,1,1,0,0,0,0
9,1010,21947,Aguascalientes,El Llano,63,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2,1,0,0,2,0,2,2,0,3,2,0,1,1,0,0,2,1,1,3,0,0,3,0,1,0,1,2,4,3,1,1,1,1,4,0,0,3,0,2,2,0,1,1,1,0,3,2,1,0,0
10,1011,51568,Aguascalientes,San Francisco de los Romo,251,0,0,0,0,0,0,0,0,0,3,1,1,1,4,2,4,7,5,3,5,3,2,4,5,2,1,5,2,2,0,4,2,11,4,3,4,6,21,8,9,11,12,9,8,2,4,6,9,10,9,5,7,6,4,2,2,2,0,2,3,1,0,2,0,1
11,2001,536143,Baja California,Ensenada,8926,0,0,0,0,1,1,4,3,22,34,37,49,51,66,75,115,126,200,207,214,203,236,209,177,186,161,169,129,188,124,105,107,127,130,122,131,130,183,186,292,375,380,436,454,331,299,414,359,278,268,188,129,96,71,82,36,40,23,39,45,32,19,13,14,5
12,2002,1087478,Baja California,Mexicali,19203,0,0,0,1,11,30,75,143,224,227,270,410,466,812,545,687,682,573,598,548,556,455,350,330,248,218,197,201,245,184,169,205,260,267,279,385,303,344,245,364,702,772,636,581,448,432,521,490,396,232,172,191,101,102,90,90,74,131,86,112,112,154,160,201,110
13,2003,113857,Baja California,Tecate,1579,0,0,0,0,0,1,6,12,22,23,32,44,14,14,7,19,15,8,34,20,34,37,36,26,39,28,32,27,49,33,35,26,30,40,40,40,37,25,40,64,62,56,77,73,53,39,43,33,31,24,14,9,12,10,11,8,6,5,2,4,4,7,3,3,1
14,2004,1789531,Baja California,Tijuana,17562,0,0,1,0,11,48,165,197,309,355,330,302,256,241,170,151,125,204,242,318,267,279,252,278,265,274,325,273,416,324,188,181,185,204,266,249,208,199,236,441,640,614,809,682,644,681,904,754,585,481,307,263,161,206,203,130,80,143,93,87,80,86,66,75,53
15,2005,107859,Baja California,Playas de Rosarito,1078,0,0,0,0,1,1,2,6,3,6,12,13,8,8,7,4,0,11,29,24,20,12,9,20,20,26,22,25,30,31,11,6,10,16,13,17,10,7,8,14,38,50,44,59,42,50,75,38,35,32,26,19,23,11,19,14,5,9,10,3,3,1,3,5,2
16,3001,83051,Baja California Sur,Comondú,2163,0,0,0,0,0,0,0,1,2,3,0,1,11,21,16,24,23,33,19,18,39,41,54,43,42,34,25,26,28,17,20,32,27,25,48,61,46,37,36,49,55,46,69,74,60,108,144,132,133,91,61,44,20,18,17,25,23,30,20,34,27,12,11,5,2
17,3002,67727,Baja California Sur,Mulegé,2300,0,0,0,0,0,0,1,0,1,5,2,15,13,13,24,45,47,53,42,38,86,39,85,43,28,28,16,25,32,36,26,24,17,17,50,45,38,47,53,39,28,42,43,37,49,56,140,130,170,82,68,44,37,38,22,16,9,25,27,31,29,40,30,26,8
18,3003,301961,Baja California Sur,La Paz,15023,0,0,0,0,0,6,18,38,26,27,29,33,27,33,34,27,82,73,139,251,321,345,353,441,429,431,391,410,426,402,340,307,248,230,244,236,201,177,189,169,261,264,314,339,294,451,628,555,580,544,510,339,288,259,203,184,243,317,233,314,260,192,122,127,69
19,3008,330312,Baja California Sur,Los Cabos,10127,0,0,0,0,3,11,45,74,35,23,17,16,12,15,35,36,59,55,70,115,162,249,230,258,291,246,164,166,169,145,119,137,164,160,192,179,199,145,195,158,169,231,242,299,213,279,461,443,468,461,306,276,169,166,162,138,141,183,123,125,136,151,206,185,45
20,3009,21657,Baja California Sur,Loreto,1309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,15,24,32,34,12,14,15,12,24,26,24,18,25,37,34,26,25,40,72,41,42,23,14,13,25,27,22,20,36,43,68,85,56,36,26,38,31,24,45,15,8,6,3,2,4,12,21,7,3,0
21,4001,63298,Campeche,Calkiní,276,0,0,0,0,0,0,1,0,1,1,0,4,5,3,6,3,13,12,16,14,23,32,34,13,3,13,15,8,11,1,0,0,1,0,0,3,2,0,0,0,0,0,2,1,0,2,6,3,1,1,7,0,1,1,2,4,3,0,2,0,0,0,2,0,0
22,4002,317424,Campeche,Campeche,4234,0,0,0,1,0,2,1,4,4,10,23,27,31,33,45,76,119,249,281,237,247,279,227,179,99,59,85,62,41,49,40,32,30,40,37,39,40,36,31,34,37,41,36,75,56,57,78,81,94,103,37,51,50,50,73,62,45,49,49,34,42,71,69,56,9
23,4003,275478,Campeche,Carmen,3299,0,0,1,1,0,3,1,8,20,26,36,61,69,88,97,95,133,193,182,137,180,202,163,106,72,49,58,41,35,34,25,38,44,20,27,13,31,12,27,27,50,39,45,48,26,24,70,56,64,48,23,43,22,50,29,21,33,45,39,30,19,37,45,32,6
24,4004,99945,Campeche,Champotón,349,0,0,0,0,0,0,0,0,1,0,5,2,3,9,8,5,12,16,23,15,20,26,36,13,16,13,4,4,10,0,2,6,1,2,2,2,7,4,1,2,0,0,0,2,3,3,6,6,4,11,4,3,6,3,3,6,2,1,3,4,0,3,5,1,0
25,4005,34683,Campeche,Hecelchakán,298,0,0,0,0,0,0,0,0,0,2,0,3,6,3,7,2,4,12,20,18,23,13,10,28,5,13,19,33,14,2,3,3,3,1,0,1,0,0,1,1,0,1,1,1,1,1,1,9,2,4,9,0,3,0,2,3,0,2,1,3,0,0,1,2,1
26,4006,44051,Campeche,Hopelchén,205,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,4,11,4,4,7,10,30,35,13,19,2,3,5,3,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,4,6,4,3,1,0,5,0,2,0,0,0,0,0,4,3,7,6,2
27,4007,9868,Campeche,Palizada,58,0,0,0,0,0,0,0,0,0,0,0,3,2,2,0,0,0,1,0,1,7,21,2,1,1,0,3,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0
28,4008,11930,Campeche,Tenabo,88,0,0,0,0,0,0,0,0,0,1,0,0,1,1,4,1,6,14,9,1,3,2,1,4,3,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,3,1,0,2,1,0,2,0,0,0,0,1,2,2,0,1,15,3,0
29,4009,63495,Campeche,Escárcega,642,0,0,0,0,0,0,0,0,0,0,0,0,1,5,12,27,41,54,48,20,72,32,29,34,31,14,27,12,7,5,0,7,2,0,5,5,10,2,6,4,15,7,6,3,7,8,8,9,4,15,12,5,2,5,9,5,3,0,1,2,3,0,0,1,0
30,4010,31723,Campeche,Calakmul,124,0,0,0,0,0,0,0,0,0,1,1,1,2,1,0,1,0,5,3,10,3,1,2,0,3,0,3,3,1,1,9,0,0,4,8,0,0,0,3,2,1,3,3,3,0,0,0,3,11,2,5,1,0,1,7,2,3,1,2,0,5,0,0,3,0
31,4011,48722,Campeche,Candelaria,167,0,0,0,0,0,0,3,1,0,5,2,2,12,1,0,0,5,8,1,5,8,12,9,11,31,6,4,4,3,3,1,0,0,0,0,1,0,3,2,0,0,1,2,0,1,0,0,1,2,5,1,6,0,0,0,1,1,1,2,0,0,0,0,0,0
32,5001,1130,Coahuila de Zaragoza,Abasolo,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
33,5002,163157,Coahuila de Zaragoza,Acuña,3308,0,0,0,0,0,0,0,2,1,2,2,5,4,4,16,40,56,138,193,351,186,164,136,133,58,64,40,59,58,34,39,35,23,26,24,41,24,24,33,38,54,34,47,86,79,88,188,137,132,121,63,62,26,29,21,12,6,12,16,15,9,8,5,5,0
34,5003,24705,Coahuila de Zaragoza,Allende,719,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,5,0,6,29,7,30,25,31,30,20,32,19,12,4,4,4,1,4,8,15,13,30,44,21,32,20,26,22,25,15,57,32,34,14,17,14,1,5,2,0,1,1,0,0,0,0,1,1,2
35,5004,25477,Coahuila de Zaragoza,Arteaga,134,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,5,0,2,3,1,2,2,1,0,1,4,3,8,4,1,4,5,8,1,3,4,10,3,2,1,0,1,1,5,1,4,6,10,4,3,1,6,1,0,2,3,1,0,1,0,1,1,0,1,1
36,5005,1945,Coahuila de Zaragoza,Candela,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2,3,0,0,0,0,0,0,1,1,0,0,4,1,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
37,5006,30568,Coahuila de Zaragoza,Castaños,445,0,0,0,1,0,2,6,2,4,2,2,2,2,3,1,0,1,3,4,1,5,10,5,5,3,6,25,14,14,3,7,6,12,5,5,9,6,10,12,12,18,11,8,16,13,8,22,18,18,19,6,13,8,7,9,9,2,4,6,5,2,2,4,7,0
38,5007,14623,Coahuila de Zaragoza,Cuatro Ciénegas,774,0,0,0,0,0,0,0,0,2,0,1,5,4,1,0,0,0,3,5,0,3,4,7,8,18,20,16,24,8,6,3,5,13,16,26,32,47,53,56,37,33,15,26,52,25,30,44,18,19,25,12,19,9,3,4,3,2,1,1,3,2,0,3,1,1
39,5008,3353,Coahuila de Zaragoza,Escobedo,31,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,1,1,1,0,0,0,0,0,2,2,0,1,0,1,5,2,2,2,0,3,0,1,0,1,0,0,0,0,0,0,0,0,0
40,5009,64483,Coahuila de Zaragoza,Francisco I. Madero,1571,0,0,0,0,0,0,0,1,1,0,0,1,5,20,37,25,34,37,36,49,76,116,81,79,44,40,21,19,17,23,11,9,18,13,19,49,65,50,65,37,35,43,27,35,23,44,39,32,35,27,27,24,25,16,2,5,3,5,0,4,5,6,6,3,2
41,5010,87942,Coahuila de Zaragoza,Frontera,1600,0,0,0,0,0,4,6,5,6,5,6,7,1,5,12,2,6,21,17,19,49,36,54,44,26,39,44,64,35,47,44,34,41,31,38,47,28,36,54,32,34,42,63,61,44,37,61,75,57,65,36,16,11,18,15,2,3,6,3,2,0,0,2,0,2
42,5011,13501,Coahuila de Zaragoza,General Cepeda,78,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,1,1,1,0,2,4,2,1,2,4,4,5,4,13,7,0,2,1,1,2,0,1,0,0,0,2,5,4,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0
43,5012,1964,Coahuila de Zaragoza,Guerrero,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0,1,0,0,0,0,1,1,6,2,0,1,1,0,1,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,5013,1888,Coahuila de Zaragoza,Hidalgo,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,5014,10994,Coahuila de Zaragoza,Jiménez,59,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,3,0,1,22,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2,3,3,3,6,0,0,5,4,0,0,0,0,0,0,0,0,0
46,5015,1722,Coahuila de Zaragoza,Juárez,17,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,8,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,5016,1984,Coahuila de Zaragoza,Lamadrid,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,1,4,4,1,1,0,0,1,3,9,1,5,2,2,4,3,0,0,0,4,8,3,0,4,5,5,1,0,0,0,3,0,0,1,1,0,0,0,0,0,0,0
48,5017,119492,Coahuila de Zaragoza,Matamoros,1435,0,0,0,0,0,0,3,7,3,2,3,4,8,12,16,25,30,35,43,54,39,55,46,31,40,29,20,26,17,12,10,12,12,23,35,50,60,50,74,53,67,57,38,21,30,31,35,18,16,22,16,14,21,8,17,12,8,9,5,6,27,5,3,6,4
49,5018,251346,Coahuila de Zaragoza,Monclova,7217,0,0,0,0,2,13,64,43,33,32,31,35,6,21,11,10,18,26,53,52,97,135,205,140,176,231,349,330,179,173,171,142,246,188,187,205,251,262,253,215,196,174,230,278,196,185,259,256,247,188,79,68,56,70,44,25,12,18,5,15,11,6,4,9,1
50,5019,9430,Coahuila de Zaragoza,Morelos,197,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,3,9,2,6,2,7,2,2,2,2,0,1,1,3,0,2,0,3,0,3,9,1,10,9,13,9,5,5,12,13,10,27,9,7,1,1,1,1,0,1,0,0,0,0,0,0,0
51,5020,75647,Coahuila de Zaragoza,Múzquiz,1736,0,0,0,0,0,0,1,0,0,3,0,0,0,1,3,7,21,29,48,41,51,42,54,53,47,62,58,65,63,37,27,39,36,36,23,46,36,25,60,35,43,56,51,69,79,75,77,74,48,48,31,9,7,6,2,5,0,0,0,2,0,4,0,1,0
52,5021,7152,Coahuila de Zaragoza,Nadadores,115,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,2,0,1,2,6,4,8,1,5,6,4,4,2,2,4,7,8,2,5,5,2,3,1,1,3,3,1,0,4,2,7,0,0,0,2,0,2,1,0,2,0,0,0,0,0,0
53,5022,33101,Coahuila de Zaragoza,Nava,742,0,0,0,0,0,0,1,0,1,0,0,0,0,1,2,2,3,4,7,27,17,9,12,15,26,19,15,12,16,12,4,15,10,33,22,27,24,24,20,12,20,13,25,35,31,29,43,42,42,22,13,15,3,3,6,1,2,2,1,0,0,1,1,0,0
54,5023,11628,Coahuila de Zaragoza,Ocampo,143,0,0,0,0,0,0,0,0,0,0,1,4,0,7,13,4,0,3,2,0,0,0,0,2,2,6,3,2,0,0,1,0,2,4,2,3,2,5,11,3,3,3,9,9,5,1,7,8,2,2,0,0,0,4,2,1,1,0,0,1,1,1,0,0,1
55,5024,48694,Coahuila de Zaragoza,Parras,1075,0,0,0,0,0,0,0,0,0,0,0,0,3,3,1,1,1,6,16,9,25,45,32,29,45,16,18,23,8,11,9,63,18,42,39,19,12,27,2,5,4,3,6,7,2,6,8,17,58,88,45,73,69,31,22,16,17,36,9,12,7,6,2,1,2
56,5025,177255,Coahuila de Zaragoza,Piedras Negras,6564,0,0,0,0,0,0,19,15,4,8,9,6,7,14,15,26,33,60,137,280,331,277,353,518,393,299,205,121,116,55,59,89,84,124,108,131,70,114,97,70,99,95,87,118,118,217,271,253,267,223,146,93,33,74,63,25,12,15,13,19,7,20,21,21,7
57,5026,3654,Coahuila de Zaragoza,Progreso,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,3,2,0,0,1,0,0,0,0,1,1,0,1,0,0,1,0,0,1,1,3,3,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
58,5027,103252,Coahuila de Zaragoza,Ramos Arizpe,757,0,0,0,0,0,0,2,1,4,0,0,1,1,1,2,2,4,6,7,6,8,7,13,14,14,10,10,10,10,5,5,12,9,7,17,24,27,19,32,13,18,24,24,23,16,30,42,36,52,44,23,19,11,19,11,10,5,7,2,17,11,2,3,4,1
59,5028,69500,Coahuila de Zaragoza,Sabinas,2294,0,0,0,0,0,0,0,0,1,0,0,0,2,6,11,18,54,93,87,79,69,74,62,95,60,47,44,67,51,38,22,31,29,47,50,62,39,64,70,73,42,96,65,58,62,111,94,67,79,62,43,26,10,6,4,3,2,5,2,1,5,1,0,4,1
60,5029,2614,Coahuila de Zaragoza,Sacramento,174,0,0,0,0,0,0,2,0,1,1,8,7,0,0,1,0,0,5,1,2,1,2,2,7,5,9,5,8,3,2,3,1,3,2,12,7,9,6,7,1,0,0,6,6,3,2,6,7,11,2,1,2,1,2,0,1,1,0,0,0,0,0,0,0,0
61,5030,869184,Coahuila de Zaragoza,Saltillo,14542,0,0,0,1,5,5,8,8,6,9,15,17,22,20,59,50,64,144,254,166,247,321,301,258,572,640,542,356,263,245,243,335,378,474,524,557,388,341,410,282,294,280,324,390,318,352,586,592,701,522,276,247,182,145,159,96,82,86,65,56,79,48,53,64,15
62,5031,25820,Coahuila de Zaragoza,San Buenaventura,350,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,1,3,0,2,3,4,16,15,7,4,8,9,25,8,17,15,10,8,7,11,5,5,18,6,5,6,14,6,17,9,11,11,15,16,9,3,4,3,2,2,1,1,2,0,2,0,0,0,0,0
63,5032,47315,Coahuila de Zaragoza,San Juan de Sabinas,1922,0,0,0,0,0,0,0,0,3,0,0,0,0,3,6,9,39,41,83,65,77,64,62,104,74,67,69,57,46,24,29,28,24,53,32,23,38,30,57,75,55,55,51,51,97,63,57,69,52,31,23,16,8,4,0,1,0,1,0,0,2,2,2,0,0
64,5033,117370,Coahuila de Zaragoza,San Pedro,2230,0,0,0,0,0,0,0,0,1,2,0,9,14,41,37,48,68,72,90,138,88,93,51,73,55,32,16,17,8,9,10,15,22,32,25,56,50,56,85,68,81,77,68,60,44,25,77,71,77,79,50,31,33,24,5,8,9,4,1,1,5,5,10,3,1
65,5034,7740,Coahuila de Zaragoza,Sierra Mojada,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,1,35,1,5,1,1,2,1,0,0,0,0,1,0,0,0,0,1,2,1,0,0,1,0,0,0,0,0,0,0
66,5035,744247,Coahuila de Zaragoza,Torreón,17183,0,1,0,1,5,2,5,5,10,10,23,53,94,164,181,270,388,436,488,470,378,398,347,337,356,328,278,265,283,213,152,179,251,368,635,1035,813,858,945,768,660,575,434,404,276,293,381,341,274,240,198,170,139,113,124,101,76,107,78,76,109,63,81,58,19
67,5036,23781,Coahuila de Zaragoza,Viesca,112,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,3,0,5,4,2,7,4,4,1,5,2,2,0,0,1,0,1,1,2,0,3,9,3,5,7,3,0,0,3,3,4,9,3,5,0,2,2,0,0,0,0,1,0,2,0,0,0,1
68,5037,6859,Coahuila de Zaragoza,Villa Unión,249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,1,3,10,9,4,3,28,13,16,18,10,8,18,0,1,1,1,9,4,7,12,3,4,1,1,2,2,0,2,4,4,7,20,8,3,1,2,0,1,0,0,0,0,0,1,0,0,0
69,5038,14203,Coahuila de Zaragoza,Zaragoza,380,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,2,4,4,1,1,13,17,18,13,0,0,1,0,0,2,4,1,3,8,7,7,7,9,15,23,22,16,20,19,31,25,24,25,10,6,3,6,3,2,0,2,0,0,0,0,0,0,0
70,6001,32363,Colima,Armería,180,0,0,0,0,0,0,0,0,0,0,1,1,1,2,1,0,0,2,2,3,10,5,8,5,8,7,6,6,1,3,10,10,2,9,5,3,2,1,1,6,1,3,4,1,2,2,0,6,11,5,5,2,1,0,0,0,0,0,0,3,0,3,9,1,0
71,6002,169188,Colima,Colima,3243,0,0,0,0,1,0,1,0,2,0,0,0,2,5,6,8,6,10,11,32,39,94,104,94,116,136,149,136,86,87,78,111,109,106,100,65,68,57,44,41,40,43,39,38,57,63,105,111,122,87,71,72,49,40,32,37,26,27,22,28,40,41,43,74,32
72,6003,23902,Colima,Comala,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,3,2,5,9,2,6,4,6,3,5,5,2,2,4,1,1,8,3,3,3,1,1,1,1,0,2,8,2,8,9,4,3,1,4,1,1,3,0,1,0,0,0,1,4,3
73,6004,22167,Colima,Coquimatlán,190,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,1,2,0,4,12,7,9,7,10,14,6,3,4,5,11,6,13,10,5,3,1,1,3,2,0,1,0,3,2,4,5,3,4,4,3,6,0,0,0,0,2,0,3,1,0,3,2,1
74,6005,32829,Colima,Cuauhtémoc,382,0,0,0,1,0,0,0,0,0,0,1,1,2,1,0,0,0,1,1,1,3,7,11,8,13,11,11,8,2,3,10,10,6,14,10,11,5,3,3,6,7,8,5,6,8,11,18,20,24,16,13,17,8,10,7,13,6,5,1,5,5,1,2,2,0
75,6006,6078,Colima,Ixtlahuacán,119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,1,4,0,8,0,3,8,9,5,1,2,6,8,6,7,13,6,4,6,3,2,0,0,0,1,0,2,3,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,6007,203306,Colima,Manzanillo,3095,0,0,0,0,0,1,1,3,5,6,5,8,24,34,29,43,65,88,81,71,87,82,88,79,107,95,100,94,80,71,62,84,98,89,79,38,59,41,35,30,39,27,50,37,44,57,74,79,114,106,93,62,62,47,35,18,27,11,15,32,33,24,22,20,5
77,6008,9670,Colima,Minatitlán,60,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,3,2,2,4,4,2,4,2,3,5,2,2,0,0,1,1,0,0,0,1,1,0,2,0,0,0,1,2,1,3,1,2,1,1,1,0,0,1,1,0,0,0,0,0
78,6009,134631,Colima,Tecomán,1403,0,0,0,0,0,0,0,0,0,1,0,3,4,2,4,11,9,16,30,34,66,94,112,72,66,75,51,39,36,21,47,52,58,35,25,29,32,22,13,20,16,19,12,19,18,27,30,24,23,16,24,15,18,11,7,8,5,4,1,1,9,4,5,5,3
79,6010,151019,Colima,Villa de Álvarez,2756,0,0,0,0,0,0,2,0,1,1,1,1,2,1,5,5,6,6,14,16,31,68,78,62,83,103,106,113,91,69,78,80,95,106,95,81,55,45,21,19,36,39,30,30,44,65,103,124,122,73,82,62,23,37,26,34,37,21,16,30,38,42,40,46,16
80,7001,19856,Chiapas,Acacoyagua,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1,1,1,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,3,0,0,0,0,0,0
81,7002,34494,Chiapas,Acala,30,0,0,0,0,0,0,0,0,0,0,2,4,3,5,0,1,0,2,1,2,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,7003,31069,Chiapas,Acapetahua,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,1,1,0,1,0,0,0,0,0,0
83,7004,35982,Chiapas,Altamirano,41,0,0,0,0,0,0,0,0,0,2,1,0,0,2,1,2,4,3,4,6,0,1,0,4,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0
84,7005,21836,Chiapas,Amatán,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
85,7006,33860,Chiapas,Amatenango de la Frontera,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,3,0,0,1,0,1,1,0,2,1,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
86,7007,10779,Chiapas,Amatenango del Valle,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
